news_headline,news_article,news_category
Hardik and Jadeja score record sixth wicket ODI stand in Australia,"India all-rounders Hardik Pandya and Ravindra Jadeja put on highest ODI partnership for the sixth wicket or lower on Australian soil on Wednesday. The duo stitched 150 runs for the sixth wicket against Australia in the third and final ODI. In the process, they also produced the highest sixth-wicket stand for India against Australia, breaking a 21-year-old record.",sports
How is UK planning the roll out of COVID-19 vaccine for its citizens?,"Elderly care home residents and their carers will be first in line to be vaccinated in the UK, followed by those over 80 and health and care workers. Pregnant women won't receive the vaccine during initial roll-out because the potential risks are unknown. The UK has ordered 4 crore doses and 8 lakh doses would be delivered next week. ",world
41 test positive for COVID-19 after attending sex convention in US,"Forty-one people have tested positive for coronavirus after attending a swingers convention in New Orleans, US. The multi-day convention called 'Naughty in N'awlins' saw about 250 people gather in the city in mid-November, a lot less than 2,000 attendees it saw in 2019. ""If I could go back in time, I would not produce this event again,"" the organiser said.",world
Finland to give free COVID-19 vaccine to all its residents,"Finland's Health Ministry has said that COVID-19 vaccines would be free to its residents and the vaccination will begin early next year. ""Finland's goal is to protect the entire population with a licensed vaccine,"" the ministry added. Medical personnel, patients of hospitals, nursing homes and senior citizens will be prioritised with initial doses, the ministry further said.",world
There won't be enough vaccines to prevent rise in cases for 3-6 months: WHO,"""We are not going to have sufficient vaccinations in place to prevent a surge in (coronavirus) cases for three to six months,"" WHO's Dr Mike Ryan said. He called on people to maintain social distancing and follow other measures to prevent spread of COVID-19. His statement comes as UK became the first country to approve Pfizer's vaccine for widespread use.",world
Putin orders mass COVID-19 vaccinations to begin in Russia next week,"Russian President Vladimir Putin on Wednesday ordered the start of mass voluntary vaccinations against coronavirus in Russia by the end of next week. Russia will have produced two million vaccine doses within the next few days, Putin said. Sputnik V's developers had said last month that the vaccine was 92% effective in protecting people from COVID-19, according to interim results.",world
Wear masks indoors if ventilation is poor: WHO in new guidelines on mask-wearing,"In new guidelines issued on mask-wearing, WHO has recommended wearing face masks when indoors with other people, if the ventilation has been deemed inadequate. ""WHO advises that the general public should wear a non-medical mask in indoor (for example shops, workplaces, schools) or outdoor settings where physical distancing of at least one metre cannot be maintained,"" the new guidance said.",world
Evidence suggests China planned Galwan Valley clash: US commission,"A US commission in a report to Congress has said some evidence suggests that China had planned the Galwan Valley clash, ""potentially including the possibility for fatalities"". Prior to it, Chinese Defence Minister General Wei Fenghe had encouraged China to ""use fighting to promote stability"", it added. Twenty Indian soldiers were martyred in the clash that took place in June.",world
India asks UN members to condemn attacks on all religions,"India on Wednesday called out UN member states for selective condemnation of attacks on Abrahamic religions, leaving religions like Hinduism, Buddhism and Sikhism. ""As long as such selectivity exists, the world can never truly foster a culture of peace,"" Indian diplomat Ashish Sharma said at UNGA. He called on the UN Alliance of Civilizations to speak for all.",world
Cannabis removed from list of most dangerous drugs by United Nations,"The UN Commission on Narcotic Drugs has voted to remove cannabis from a category of the world's most dangerous drugs. Cannabis was earlier in the same category as heroin, cocaine, fentanyl, methadone and morphine. The vote came on the World Health Organization's (WHO) recommendation to make research into the medical use of cannabis easier. ",world
Ex-Pak PM Nawaz Sharif declared 'proclaimed offender' by High Court,"Pakistan's former Prime Minister Nawaz Sharif on Wednesday was declared a ""proclaimed offender"" by the Islamabad High Court. Sharif had failed to appear before the court despite repeated summons in connection with two corruption cases. Sharif has been in London since November last year after he was granted permission to go abroad for four weeks for medical treatment.",world
New metal monolith appears atop a mountain in California ,"A new metal monolith has appeared atop a mountain in the US state of California, days after similar structures that were found in Utah state and Romania disappeared. ""The three-sided obelisk appeared to be made of stainless steel, 10-foot tall and 18 inches wide,"" a local newspaper said. It reported that it might be possible to push the monolith over.",world
US court blocks H-1B visa norms restricting firms from hiring foreign workers,A US court has ruled against two H-1B visa regulations introduced by US President Donald Trump's administration that restricted the ability of American companies to hire foreign employees. The Trump administration had imposed minimum pay for foreign workers on H-1B visas. It had also narrowed the eligibility of what jobs and employment relationships qualify for the visa.,world
Struggle isn't over: UK PM Johnson post COVID-19 vaccine approval,"Following the approval of Pfizer/BioNTech developed COVID-19 vaccine for widespread use, UK PM Boris Johnson said that people shouldn't ""fall into the naive belief that the struggle is over"". He added that even though the vaccine has been approved there're still ""immense logistical challenges"". The UK on Wednesday became the first country in the world to approve the Pfizer/BioNTech vaccine. ",world
Germany extends partial lockdown until Jan 10 to combat COVID-19,"German Chancellor Angela Merkel on Wednesday said that the government will extend partial lockdown in the country until January 10 to combat the spread of coronavirus. She added that the infection rates in the country are still far too high and need to come down faster. On Wednesday, Germany reported 487 new deaths, marking the highest daily rise in fatalities. ",world
Ex-French President Valery Giscard d’Estaing dies of COVID-19 at 94,"Former French President Valery Giscard d'Estaing has died at the age of 94 after contracting coronavirus, his family said on Wednesday. He died at his family home in central France. Giscard, who served as France's leader from 1974 to 1981, is credited for legalising abortion, allowing divorce by mutual consent and lowering the voting age to 18 from 21.",world
Vote recount fight about ensuring US has faith in elections: Trump,"US President Donald Trump said that his fight for recounting of votes is to ensure that ""Americans can have faith in this election, and in all future elections"". Trump alleged that the ""corrupt mail-in balloting scheme that Democrats systematically put into place"" allowed votes to be altered. Several election officials have said there was no evidence of massive voters fraud.",world
US Justice Dept probing bribes to WH in exchange for a presidential pardon,"The US Justice Department is investigating whether several individuals offered political contributions in exchange for a presidential pardon, according to an unsealed court document. US District Judge Beryl Howell, who described it as ""bribery-for-pardon"" investigation, released the 18-page document on Tuesday. About half of the document was redacted and doesn't name people potentially involved.",world
Boko Haram claims responsibility for killing 76 farmers in Nigeria,"Boko Haram on Tuesday claimed responsibility for the attack on farmers in northeast Nigeria over the weekend that left 76 dead. The death toll is likely to rise further as search for bodies continues, a local official said. Boko Haram carried out the attack in response to villagers seizing some of the group's fighters and handing them over to authorities.",world
Israeli lawmakers pass preliminary bill to dissolve parliament,"The Israeli parliament has passed a preliminary bill to dissolve itself, with Israel likely to head for its fourth election in less than two years. The move comes amid a crisis in the ruling coalition led by PM Benjamin Netanyahu and Defence Minister Benny Gantz. The legislation will need to pass three future parliamentary votes to become law, Reuters reported. ",world
WeChat blocks Aus PM's post criticising fake photo of soldier,The Chinese social media platform WeChat has blocked a message by Australian PM Scott Morrison criticising a fake image of an Australian soldier murdering a child posted by a Chinese government spokesman. A note claimed that the content had violated regulations. The move comes amid a diplomatic dispute between Australia and China over the image.,world
Haryana MLA quits as livestock board chief in support of farmers,"Extending his support to the protesting farmers, Haryana MLA Sombir Sangwan resigned as the Chairman of the State Livestock Development Board. Sangwan is an Independent MLA supporting the BJP-JJP coalition government in the state. ""Like the entire country, farmers from my constituency Dadri are also protesting against these (farm) laws,"" he said in a letter to CM Manohar Lal Khattar.",politics
"If I was violent, there would be many FIRs against me: Shehla's father","After Shehla Rashid claimed her father Abdul Rashid Shora was a wife-beater, Shora responded, ""If I am a violent person, surely there must be a string of FIRs against me? But there are not."" He added, ""I was restored to the right of habitation to my house in a day by a court order after the domestic violence complaint."" ",politics
Won't give BJP ticket to Muslim candidate: K'taka Min on Belagavi bypoll,"Karnataka Rural Development Minister KS Eshwarappa on Saturday said BJP won't field any Muslim candidate for the bypoll to Belagavi Lok Sabha seat. ""We might give the party ticket to any community of Hindus...but definitely, it won't be given to Muslims,"" Eshwarappa added. The Belagavi LS seat fell vacant recently following the demise of Union MoS for Railways Suresh Angadi.",politics
Should farmers come with plough and oxen?: AAP on VK Singh's remark,"The AAP has asked Union Minister VK Singh if the farmers protesting in Delhi should have come with ""plough and oxen"" to appear like farmers. Singh had said that when he looks at the photographs of protests, a lot of people do not look like farmers. He alleged that Opposition and people who take commission were involved in the protests. ",politics
"Chandrababu Naidu, 12 others suspended for a day from AP Assembly","Opposition leader N Chandrababu Naidu and 12 other TDP members were suspended for a day after they stormed the podium stalling the proceedings on the first day of the winter session of the Andhra Pradesh Assembly. As per the reports, they were suspended for creating ruckus during a discussion on help to farmers worst affected due to Cyclone Nivar.",politics
Ours is Mahatma Gandhi's Hindutva: Karnataka Congress chief,"Karnataka Pradesh Congress Committee President DK Shivakumar on Monday said his party believes in the Hindutva of Mahatma Gandhi and Swami Vivekananda. ""We (Congress) will protect and safeguard the interest of everyone as said in our constitution,"" he added. ""India's tradition, culture is the wealth that belongs to all of us,"" Shivakumar further said.",politics
Urmila Matondkar joins Shiv Sena over a year after quitting Congress,"Actor-turned-politician Urmila Matondkar on Tuesday joined Shiv Sena in the presence of Maharashtra Chief Minister Uddhav Thackeray. Matondkar contested the 2019 Lok Sabha elections from the Mumbai North constituency on a Congress ticket and lost by a huge margin to sitting MP Gopal Shetty. She had quit Congress citing ""petty politics"" last September.",politics
"China, Pak trying to destabilise India in name of farmers: Minister","Discussing the farmers' protests, Haryana Minister Jai Parkash Dalal on Thursday said, ""In the name of farmers... Foreign powers like China, Pakistan, and other enemy nations are trying to destabilise the country."" He added, ""Bihar recently witnessed elections... Since the introduction of these laws, people have given tremendous support to PM Narendra Modi. Are they not farmers?""",politics
"Shivraj Singh meets PM Modi, discusses COVID vaccine distribution","Madhya Pradesh CM Shivraj Singh Chouhan met PM Narendra Modi on Tuesday. After the meeting, he tweeted, ""I discussed the status of COVID-19 infection with PM Modi and made him aware of the preparations being made in Madhya Pradesh for vaccination."" Chouhan also suggested a campaign to encourage youth to get vaccinated after the elderly when the vaccine is ready.",politics
Compulsory nap time if I am made CM in 2022: Goa Forward Party leader,"Goa Forward Party leader Vijai Sardesai has stated that he will ensure a compulsory siesta hour anytime between 2 pm and 4 pm if made Chief Minister following the 2022 Assembly elections. Stating that Goa is associated with a chilled-out attitude, Sardesai added, ""Goans like to take it easy, which should not be mistaken for laziness.""",politics
Never met such inspiring and lively soul: Sisodia on MDH owner's demise,"Delhi CM Arvind Kejriwal and Deputy CM Manish Sisodia took to Twitter after the demise of MDH's owner Mahashay Dharampal Gulati on Thursday. Sisodia wrote, ""India's most inspiring entrepreneur, MDH owner Dharm Pal Mahashay passed away this morning. I've never met such an inspiring and lively soul."" Kejriwal tweeted, ""He dedicated his life for the society. God bless his soul.""",politics
"CBI, Enforcement Directorate should be sent to borders: Shiv Sena","The Enforcement Directorate and the Central Bureau of Investigation should be sent to tackle terrorists and infiltration on the borders, Shiv Sena said. ""At Delhi's border, our farmers are called terrorists while terrorists are entering Kashmir border and Ladakh. At such times, ED and CBI should be sent to the borders,"" Sena said in an editorial in its mouthpiece Saamana.",politics
Asked Shah to resolve issue with farmers as it affects Punjab's economy: CM,"Following his meeting with Union Home Minister Amit Shah over the farmers' protests, Punjab CM Amarinder Singh said, ""I reiterated my opposition...and requested him to resolve the issue as it affects the economy of my state and security of the nation."" Singh added, ""The discussion is going on between farmers and the Centre. There is nothing for me to resolve.""",politics
"Asaduddin Owaisi, G Kishan Reddy cast their votes for GHMC polls","AIMIM President Asaduddin Owaisi has cast his vote for the Greater Hyderabad Municipal Corporation (GHMC) elections on Tuesday morning. He said, ""I appeal to the people of Hyderabad to cast their vote today to strengthen democracy."" Minister of State for Home Affairs G Kishan Reddy also cast his vote for GHMC polls in Hyderabad's Kachiguda.",politics
"He added spice to our lives, sad day for country: Puri on MDH owner's demise","Union Minister Hardeep Singh Puri has said the passing away of MDH's owner Mahashay Dharampal Gulati is a sad day for the country. Puri tweeted, ""He added spice to our lives & was a part of every Indian household."" Congress leader Rajeev Shukla tweeted, ""From a lane in Chandni Chowk he spread his wings to every corner of the world.""",politics
"BJP, NCP both seek credit for Pune's Bhama Askhed project","After the Pune Municipal Corporation (PMC) claimed to have completed the work on Bhama Askhed dam project, both BJP and NCP have sought credit for the project. ""During BJP's tenure, the party had approved funds from the standing committee for this project,"" BJP's city unit president said. ""Project was approved by the Congress and NCP,"" NCP MLA Sunil Tingre responded. ",politics
Bar Council of Delhi writes to PM Modi to repeal farm laws,"The Bar Council of Delhi has written to PM Narendra Modi, urging him to repeal the farm laws. The council said these laws are ""detrimental"" to the lawyer community. ""The mindset behind move...to oust the jurisdiction of civil courts and transfer of power to bureaucrats...to decide disputes between the traders and the farmers will lead to corruption,"" the letter said.",politics
TRS brought down voter turnout at GHMC polls to its advantage: BJP,"Union Minister of State, G Kishan Reddy, alleged the TRS government used the State Election Commission to bring down the voter turnout in the Greater Hyderabad Municipal Corporation elections to its advantage. Telangana BJP President Bandi Sanjay Kumar said that CM K Chandrashekar Rao created an environment so that people do not come out to cast their votes.",politics
"President Kovind, PM Modi extend greetings on Guru Nanak Jayanti","President Ram Nath Kovind and Prime Minister Narendra Modi have extended greetings to nation on Guru Nanak Jayanti. PM Modi tweeted, ""I bow to Sri Guru Nanak Dev Ji on his Parkash Purab. May his thoughts keep motivating us to serve society and ensure a better planet."" President Kovind urged citizens to emulate Guru Nanak Dev's teachings in their conduct.",politics
"Punjab, WB also have film cities, will Yogi visit them too?: Raut","Following a meeting between Akshay Kumar and UP CM Yogi Adityanath, Shiv Sena's Sanjay Raut said, ""It's not easy to shift Mumbai's film city to another place."" Raut added, ""There are film cities in WB and Punjab too. Will Yogi Ji also visit these places and talk to directors/ artists or is he going to do so only in Mumbai?""",politics
